Sl. No,Change ID,Event Number,Timestamp,Impacted CIs,Description of change,Planned duration (Min),Change Category,Change Type,CI Category,CI Subcategory,CI Classification,Approval required,Is Approved,Is downtime required,Is restart required,Actual Duration,Change Status,Remarks
132,CH0000932,,2024-09-07 22:18:20,VPN Nat Gateway,Access permissions,39,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,2 out of 5,No,No,31,failed / Cancelled,"on time preps are incomplete, no approvals"
133,CH0000933,,2024-02-05 17:39:47,Internet Gateway,Version upgrade,44,Normal,Major,Systems,Server,Internet Gateway,Yes,5 out of 5,Yes,Yes,41,Rolled back,post implementation checks failed
134,CH0000934,,2024-05-24 13:23:51,Internet Gateway,Version upgrade,31,Normal,Major,Systems,Server,Internet Gateway,Yes,3 out of 5,Yes,Yes,23,implemented and closed,Change is succesfully implemented and closed
135,CH0000935,,2024-12-03 11:30:22,Web Application 01,OS upgrade,92,Normal,Major,Systems,Server,Web Application 01,Yes,3 out of 5,Yes,Yes,92,implemented and closed,Change is succesfully implemented and closed
136,CH0000936,,2024-08-11 15:43:26,Bastion Host,OS upgrade,114,Normal,Major,Systems,Server,Bastion Host,Yes,5 out of 5,Yes,Yes,109,implemented and closed,Change is succesfully implemented and closed
137,CH0000937,,2024-06-06 13:34:11,Active Directory services,Version upgrade,45,Normal,Major,Systems,Server,Active Directory services,Yes,3 out of 5,Yes,Yes,48,implemented and closed,Change is succesfully implemented and closed
138,CH0000938,,2024-09-10 22:14:17,Cloudwatch,Add New requirements / Features,62,Normal,Major,Systems,Server,Cloudwatch,Yes,4 out of 5,Yes,Yes,68,implemented and closed,Change is succesfully implemented and closed
139,CH0000939,,2024-07-15 12:28:22,Middleware Application 02,Access permissions,65,Normal,Medium,Systems,Server,Middleware Application 02,Yes,5 out of 5,No,No,63,implemented and closed,Change is succesfully implemented and closed
140,CH0000940,,2024-02-15 13:38:33,"Bastion Host, Web Application Firewall",Access permissions,62,Normal,Medium,Systems,Server,Bastion Host,Yes,4 out of 5,No,No,65,implemented and closed,Change is succesfully implemented and closed
141,CH0000941,,2024-08-12 17:09:22,Cloudwatch,Add New requirements / Features,67,Normal,Major,Systems,Server,Cloudwatch,Yes,3 out of 5,Yes,Yes,68,implemented and closed,Change is succesfully implemented and closed
142,CH0000942,,2024-05-15 05:54:38,Web Application Firewall,Version upgrade,43,Normal,Major,Systems,Server,Web Application Firewall,Yes,3 out of 5,Yes,Yes,35,implemented and closed,Change is succesfully implemented and closed
143,CH0000943,,2024-10-30 16:49:42,Route 53,Version upgrade,38,Normal,Major,Systems,Server,Route 53,Yes,3 out of 5,Yes,Yes,37,implemented and closed,Change is succesfully implemented and closed
144,CH0000944,,2025-01-18 05:07:48,IDEAWORKS application,App upgradation,118,Normal,Major,Systems,Server,IDEAWORKS application,Yes,4 out of 5,Yes,Yes,112,Rolled back,post implementation checks failed
145,CH0000945,,2024-11-29 21:42:01,Database Server 02,Access permissions,67,Normal,Medium,Systems,Server,Database Server 02,Yes,3 out of 5,No,No,72,Rolled back,post implementation checks failed
146,CH0000946,,2024-07-15 01:34:04,Internet Gateway,Add New requirements / Features,71,Normal,Major,Systems,Server,Internet Gateway,Yes,3 out of 5,Yes,Yes,77,implemented and closed,Change is succesfully implemented and closed
147,CH0000947,,2024-10-27 00:30:34,S3 Bucket,Version upgrade,35,Normal,Major,Systems,Server,S3 Bucket,Yes,4 out of 5,Yes,Yes,31,implemented and closed,Change is succesfully implemented and closed
148,CH0000948,,2024-12-31 19:04:56,Cloud HSM,Configuration changes,39,Normal,Medium,Systems,Server,Cloud HSM,Yes,3 out of 5,No,No,36,implemented and closed,Change is succesfully implemented and closed
149,CH0000949,,2024-03-12 19:59:11,Web Application Firewall,Add New requirements / Features,69,Normal,Major,Systems,Server,Web Application Firewall,Yes,3 out of 5,Yes,Yes,75,implemented and closed,Change is succesfully implemented and closed
150,CH0000950,,2024-11-22 03:15:28,Database Server 02,Access permissions,68,Normal,Medium,Systems,Server,Database Server 02,Yes,3 out of 5,No,No,59,implemented and closed,Change is succesfully implemented and closed
151,CH0000951,,2024-12-15 23:21:30,Role,Configuration changes,41,Normal,Medium,Systems,Server,Role,Yes,5 out of 5,No,No,41,implemented and closed,Change is succesfully implemented and closed
152,CH0000952,,2024-12-03 07:27:28,"Direct Connect, VPN Nat Gateway, Web Application Firewall",Access permissions,41,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,3 out of 5,No,No,36,implemented and closed,Change is succesfully implemented and closed
153,CH0000953,,2024-03-14 13:02:58,Cloud HSM,Configuration changes,35,Normal,Medium,Systems,Server,Cloud HSM,Yes,4 out of 5,No,No,26,implemented and closed,Change is succesfully implemented and closed
154,CH0000954,,2024-08-17 01:58:30,Internet Gateway,Configuration changes,61,Normal,Medium,Systems,Server,Internet Gateway,Yes,4 out of 5,No,No,67,implemented and closed,Change is succesfully implemented and closed
155,CH0000955,,2024-04-12 02:18:59,Route 53,Access permissions,62,Normal,Medium,Systems,Server,Route 53,Yes,0 out of 5,No,No,72,failed / Cancelled,"on time preps are incomplete, no approvals"
156,CH0000956,,2024-06-18 13:07:27,S3 Bucket,Version upgrade,37,Normal,Major,Systems,Server,S3 Bucket,Yes,5 out of 5,Yes,Yes,39,implemented and closed,Change is succesfully implemented and closed
157,CH0000957,,2024-10-09 18:55:42,Web Application 01,OS upgrade,96,Normal,Major,Systems,Server,Web Application 01,Yes,4 out of 5,Yes,Yes,89,implemented and closed,Change is succesfully implemented and closed
158,CH0000958,,2024-05-01 00:07:24,Web Application 02,OS upgrade,90,Normal,Major,Systems,Server,Web Application 02,Yes,5 out of 5,Yes,Yes,96,implemented and closed,Change is succesfully implemented and closed
159,CH0000959,,2024-09-16 04:35:12,Middleware Application 01,Access permissions,66,Normal,Medium,Systems,Server,Middleware Application 01,Yes,3 out of 5,No,No,59,Rolled back,post implementation checks failed
160,CH0000960,,2024-08-22 13:53:33,"Application Load Balancer, Bastion Host",Configuration changes,81,Normal,Medium,Systems,Server,Application Load Balancer,Yes,4 out of 5,No,No,80,implemented and closed,Change is succesfully implemented and closed
161,CH0000961,,2024-03-14 13:29:44,"Direct Connect, Route 53",Add New requirements / Features,61,Normal,Major,Systems,Server,Direct Connect,Yes,4 out of 5,Yes,Yes,54,implemented and closed,Change is succesfully implemented and closed
162,CH0000962,,2024-05-19 23:37:35,Route 53,Version upgrade,39,Normal,Major,Systems,Server,Route 53,Yes,5 out of 5,Yes,Yes,40,implemented and closed,Change is succesfully implemented and closed
163,CH0000963,,2025-01-17 01:12:54,"Application Load Balancer, Direct Connect, Web Application Firewall",Access permissions,60,Normal,Medium,Systems,Server,Application Load Balancer,Yes,3 out of 5,No,No,63,implemented and closed,Change is succesfully implemented and closed
164,CH0000964,,2024-10-23 21:49:42,Active Directory services,Version upgrade,39,Normal,Major,Systems,Server,Active Directory services,Yes,5 out of 5,Yes,Yes,38,implemented and closed,Change is succesfully implemented and closed
165,CH0000965,,2024-06-19 05:51:58,Application Load Balancer,Add New requirements / Features,60,Normal,Major,Systems,Server,Application Load Balancer,Yes,3 out of 5,Yes,Yes,66,implemented and closed,Change is succesfully implemented and closed
166,CH0000966,,2024-07-14 00:53:01,"Direct Connect, Web Application Firewall",Access permissions,61,Normal,Medium,Systems,Server,Web Application Firewall,Yes,0 out of 5,No,No,61,failed / Cancelled,"on time preps are incomplete, no approvals"
167,CH0000967,,2024-07-12 20:48:36,Active Directory services,Add New requirements / Features,70,Normal,Major,Systems,Server,Active Directory services,Yes,3 out of 5,Yes,Yes,60,implemented and closed,Change is succesfully implemented and closed
168,CH0000968,,2024-04-13 07:27:40,Middleware Application 01,App upgradation,116,Normal,Major,Systems,Server,Middleware Application 01,Yes,5 out of 5,Yes,Yes,121,implemented and closed,Change is succesfully implemented and closed
169,CH0000969,,2024-11-10 20:19:51,Bastion Host,OS upgrade,117,Normal,Major,Systems,Server,Bastion Host,Yes,4 out of 5,Yes,Yes,119,implemented and closed,Change is succesfully implemented and closed
170,CH0000970,,2024-12-17 00:29:31,Application Load Balancer,Access permissions,75,Normal,Medium,Systems,Server,Application Load Balancer,Yes,5 out of 5,No,No,74,implemented and closed,Change is succesfully implemented and closed
171,CH0000971,,2024-11-05 16:58:57,Middleware Application 01,Configuration changes,61,Normal,Medium,Systems,Server,Middleware Application 01,Yes,1 out of 5,No,No,54,failed / Cancelled,"on time preps are incomplete, no approvals"
172,CH0000972,,2024-07-11 21:05:50,Middleware Application 02,Add New requirements / Features,91,Normal,Major,Systems,Server,Middleware Application 02,Yes,3 out of 5,Yes,Yes,96,Rolled back,post implementation checks failed
173,CH0000973,,2024-11-02 03:03:25,"Bastion Host, Web Application Firewall",Access permissions,74,Normal,Medium,Systems,Server,Bastion Host,Yes,3 out of 5,No,No,76,implemented and closed,Change is succesfully implemented and closed
174,CH0000974,,2024-06-09 19:02:05,Web Application 02,Access permissions,71,Normal,Medium,Systems,Server,Web Application 02,Yes,3 out of 5,No,No,74,implemented and closed,Change is succesfully implemented and closed
175,CH0000975,,2024-09-13 13:25:26,Database Server 02,App upgradation,96,Normal,Major,Systems,Server,Database Server 02,Yes,4 out of 5,Yes,Yes,87,implemented and closed,Change is succesfully implemented and closed
176,CH0000976,,2024-08-12 23:15:27,Cloud HSM,Version upgrade,35,Normal,Major,Systems,Server,Cloud HSM,Yes,4 out of 5,Yes,Yes,33,Rolled back,post implementation checks failed
177,CH0000977,,2024-07-05 10:57:39,Endpoints,Configuration changes,40,Normal,Medium,Systems,Server,Endpoints,Yes,3 out of 5,No,No,37,implemented and closed,Change is succesfully implemented and closed
178,CH0000978,,2024-02-14 03:46:25,Database Server 02,Access permissions,67,Normal,Medium,Systems,Server,Database Server 02,Yes,5 out of 5,No,No,59,implemented and closed,Change is succesfully implemented and closed
179,CH0000979,,2024-07-18 14:05:03,Role,Version upgrade,39,Normal,Major,Systems,Server,Role,Yes,4 out of 5,Yes,Yes,39,implemented and closed,Change is succesfully implemented and closed
180,CH0000980,,2024-03-01 08:29:06,Database Server 02,OS upgrade,94,Normal,Major,Systems,Server,Database Server 02,Yes,5 out of 5,Yes,Yes,88,Rolled back,post implementation checks failed
181,CH0000981,,2024-09-22 21:26:57,VPN Gateway,Access permissions,72,Normal,Medium,Systems,Server,VPN Gateway,Yes,4 out of 5,No,No,77,implemented and closed,Change is succesfully implemented and closed
182,CH0000982,,2024-05-10 13:17:25,Role,Access permissions,41,Normal,Medium,Systems,Server,Role,Yes,4 out of 5,No,No,31,implemented and closed,Change is succesfully implemented and closed
183,CH0000983,,2024-09-25 18:28:39,Cloud HSM,Add New requirements / Features,66,Normal,Major,Systems,Server,Cloud HSM,Yes,4 out of 5,Yes,Yes,63,implemented and closed,Change is succesfully implemented and closed
184,CH0000984,,2025-01-22 05:48:02,"Bastion Host, Route 53",Add New requirements / Features,69,Normal,Major,Systems,Server,Route 53,Yes,1 out of 5,Yes,Yes,67,failed / Cancelled,"on time preps are incomplete, no approvals"
185,CH0000985,,2024-05-03 08:21:56,Web Application 02,App upgradation,109,Normal,Major,Systems,Server,Web Application 02,Yes,4 out of 5,Yes,Yes,100,implemented and closed,Change is succesfully implemented and closed
186,CH0000986,,2024-12-09 07:22:52,"Application Load Balancer, Web Application Firewall",Add New requirements / Features,64,Normal,Major,Systems,Server,Application Load Balancer,Yes,4 out of 5,Yes,Yes,58,implemented and closed,Change is succesfully implemented and closed
187,CH0000987,,2024-09-09 23:45:04,"Direct Connect, Route 53",Add New requirements / Features,66,Normal,Major,Systems,Server,Direct Connect,Yes,5 out of 5,Yes,Yes,66,Rolled back,post implementation checks failed
188,CH0000988,,2024-11-17 23:58:11,"Application Load Balancer, Bastion Host, Direct Connect",Add New requirements / Features,70,Normal,Major,Systems,Server,Application Load Balancer,Yes,3 out of 5,Yes,Yes,79,implemented and closed,Change is succesfully implemented and closed
189,CH0000989,,2024-04-09 15:26:58,Direct Connect,Configuration changes,63,Normal,Medium,Systems,Server,Direct Connect,Yes,3 out of 5,No,No,69,implemented and closed,Change is succesfully implemented and closed
190,CH0000990,,2025-01-05 19:52:43,Endpoints,Configuration changes,39,Normal,Medium,Systems,Server,Endpoints,Yes,5 out of 5,No,No,48,implemented and closed,Change is succesfully implemented and closed
191,CH0000991,,2024-03-02 00:28:05,Direct Connect,Version upgrade,36,Normal,Major,Systems,Server,Direct Connect,Yes,3 out of 5,Yes,Yes,45,implemented and closed,Change is succesfully implemented and closed
192,CH0000992,,2024-10-24 00:16:07,Database Server 01,OS upgrade,106,Normal,Major,Systems,Server,Database Server 01,Yes,3 out of 5,Yes,Yes,108,implemented and closed,Change is succesfully implemented and closed
193,CH0000993,,2024-07-03 18:31:57,S3 Bucket,Configuration changes,44,Normal,Medium,Systems,Server,S3 Bucket,Yes,5 out of 5,No,No,41,implemented and closed,Change is succesfully implemented and closed
194,CH0000994,,2024-02-19 10:27:32,Endpoints,Configuration changes,43,Normal,Medium,Systems,Server,Endpoints,Yes,4 out of 5,No,No,40,implemented and closed,Change is succesfully implemented and closed
195,CH0000995,,2024-10-02 06:35:57,"Middleware Application 02, Web Application 02",Access permissions,75,Normal,Medium,Systems,Server,Middleware Application 02,Yes,5 out of 5,No,No,67,implemented and closed,Change is succesfully implemented and closed
196,CH0000996,,2024-07-18 13:50:00,"Middleware Application 01, Middleware Application 02, Web Application 02",Add New requirements / Features,118,Normal,Major,Systems,Server,Middleware Application 02,Yes,5 out of 5,Yes,Yes,121,implemented and closed,Change is succesfully implemented and closed
197,CH0000997,,2024-03-17 00:23:00,Application Load Balancer,Access permissions,68,Normal,Medium,Systems,Server,Application Load Balancer,Yes,5 out of 5,No,No,60,implemented and closed,Change is succesfully implemented and closed
198,CH0000998,,2024-07-20 00:46:39,S3 Bucket,Configuration changes,38,Normal,Medium,Systems,Server,S3 Bucket,Yes,3 out of 5,No,No,36,implemented and closed,Change is succesfully implemented and closed
199,CH0000999,,2024-05-29 18:05:53,S3 Bucket,Configuration changes,44,Normal,Medium,Systems,Server,S3 Bucket,Yes,4 out of 5,No,No,37,implemented and closed,Change is succesfully implemented and closed
200,CH0001000,,2024-10-16 12:40:08,Route 53,Add New requirements / Features,65,Normal,Major,Systems,Server,Route 53,Yes,5 out of 5,Yes,Yes,73,implemented and closed,Change is succesfully implemented and closed
201,CH0001001,,2024-08-31 23:51:35,IAM Role,Access permissions,40,Normal,Medium,Systems,Server,IAM Role,Yes,0 out of 5,No,No,41,failed / Cancelled,"on time preps are incomplete, no approvals"
202,CH0001002,,2024-12-13 01:05:36,Cloudwatch,Add New requirements / Features,62,Normal,Major,Systems,Server,Cloudwatch,Yes,5 out of 5,Yes,Yes,52,implemented and closed,Change is succesfully implemented and closed
203,CH0001003,,2024-06-12 18:40:54,IDEAWORKS application,Configuration changes,83,Normal,Medium,Systems,Server,IDEAWORKS application,Yes,5 out of 5,No,No,82,implemented and closed,Change is succesfully implemented and closed
204,CH0001004,,2024-09-20 15:46:04,Database Server 02,Configuration changes,76,Normal,Medium,Systems,Server,Database Server 02,Yes,5 out of 5,No,No,82,implemented and closed,Change is succesfully implemented and closed
205,CH0001005,,2024-05-09 06:46:02,Middleware Application 02,App upgradation,107,Normal,Major,Systems,Server,Middleware Application 02,Yes,5 out of 5,Yes,Yes,102,implemented and closed,Change is succesfully implemented and closed
206,CH0001006,,2024-10-06 08:48:50,S3 Bucket,Configuration changes,35,Normal,Medium,Systems,Server,S3 Bucket,Yes,4 out of 5,No,No,35,implemented and closed,Change is succesfully implemented and closed
207,CH0001007,,2024-03-19 23:51:29,Internet Gateway,Version upgrade,31,Normal,Major,Systems,Server,Internet Gateway,Yes,5 out of 5,Yes,Yes,31,implemented and closed,Change is succesfully implemented and closed
208,CH0001008,,2024-06-08 21:05:12,IAM Role,Configuration changes,39,Normal,Medium,Systems,Server,IAM Role,Yes,5 out of 5,No,No,33,implemented and closed,Change is succesfully implemented and closed
209,CH0001009,,2024-11-15 09:03:27,Database Server 01,Configuration changes,67,Normal,Medium,Systems,Server,Database Server 01,Yes,3 out of 5,No,No,67,implemented and closed,Change is succesfully implemented and closed
210,CH0001010,,2024-09-10 02:21:45,IAM Role,Add New requirements / Features,69,Normal,Major,Systems,Server,IAM Role,Yes,3 out of 5,Yes,Yes,65,implemented and closed,Change is succesfully implemented and closed
211,CH0001011,,2024-02-10 12:42:12,S3 Bucket,Configuration changes,43,Normal,Medium,Systems,Server,S3 Bucket,Yes,3 out of 5,No,No,38,implemented and closed,Change is succesfully implemented and closed
212,CH0001012,,2024-08-07 18:29:27,Middleware Application 02,App upgradation,91,Normal,Major,Systems,Server,Middleware Application 02,Yes,4 out of 5,Yes,Yes,84,Rolled back,post implementation checks failed
213,CH0001013,,2024-12-15 06:04:58,Active Directory services,Add New requirements / Features,65,Normal,Major,Systems,Server,Active Directory services,Yes,3 out of 5,Yes,Yes,59,implemented and closed,Change is succesfully implemented and closed
214,CH0001014,,2024-06-24 05:54:26,Endpoints,Version upgrade,35,Normal,Major,Systems,Server,Endpoints,Yes,4 out of 5,Yes,Yes,40,implemented and closed,Change is succesfully implemented and closed
215,CH0001015,,2024-06-19 07:53:32,Middleware Application 02,App upgradation,107,Normal,Major,Systems,Server,Middleware Application 02,Yes,4 out of 5,Yes,Yes,100,implemented and closed,Change is succesfully implemented and closed
216,CH0001016,,2024-03-22 18:14:15,Cloud HSM,Version upgrade,34,Normal,Major,Systems,Server,Cloud HSM,Yes,5 out of 5,Yes,Yes,42,Rolled back,post implementation checks failed
217,CH0001017,,2024-10-21 18:41:13,Web Application 02,Add New requirements / Features,111,Normal,Major,Systems,Server,Web Application 02,Yes,4 out of 5,Yes,Yes,111,implemented and closed,Change is succesfully implemented and closed
218,CH0001018,,2024-02-10 04:49:35,Cloudwatch,Access permissions,32,Normal,Medium,Systems,Server,Cloudwatch,Yes,5 out of 5,No,No,22,implemented and closed,Change is succesfully implemented and closed
219,CH0001019,,2024-10-18 05:14:28,Active Directory services,Add New requirements / Features,66,Normal,Major,Systems,Server,Active Directory services,Yes,4 out of 5,Yes,Yes,72,implemented and closed,Change is succesfully implemented and closed
220,CH0001020,,2024-10-07 02:22:14,S3 Bucket,Version upgrade,33,Normal,Major,Systems,Server,S3 Bucket,Yes,3 out of 5,Yes,Yes,29,implemented and closed,Change is succesfully implemented and closed
221,CH0001021,,2024-10-31 13:57:47,Application Load Balancer,Configuration changes,86,Normal,Medium,Systems,Server,Application Load Balancer,Yes,5 out of 5,No,No,83,implemented and closed,Change is succesfully implemented and closed
222,CH0001022,,2024-08-30 08:52:13,Internet Gateway,Version upgrade,41,Normal,Major,Systems,Server,Internet Gateway,Yes,4 out of 5,Yes,Yes,41,implemented and closed,Change is succesfully implemented and closed
223,CH0001023,,2024-10-01 07:15:19,S3 Bucket,Configuration changes,44,Normal,Medium,Systems,Server,S3 Bucket,Yes,4 out of 5,No,No,36,implemented and closed,Change is succesfully implemented and closed
224,CH0001024,,2024-02-02 05:52:54,Middleware Application 02,Add New requirements / Features,91,Normal,Major,Systems,Server,Middleware Application 02,Yes,5 out of 5,Yes,Yes,85,implemented and closed,Change is succesfully implemented and closed
225,CH0001025,,2024-11-17 12:57:16,Middleware Application 01,Add New requirements / Features,101,Normal,Major,Systems,Server,Middleware Application 01,Yes,5 out of 5,Yes,Yes,105,implemented and closed,Change is succesfully implemented and closed
226,CH0001026,,2024-11-23 07:23:27,Cloud HSM,Add New requirements / Features,68,Normal,Major,Systems,Server,Cloud HSM,Yes,5 out of 5,Yes,Yes,64,implemented and closed,Change is succesfully implemented and closed
227,CH0001027,,2024-02-11 10:48:14,S3 Bucket,Version upgrade,33,Normal,Major,Systems,Server,S3 Bucket,Yes,3 out of 5,Yes,Yes,42,implemented and closed,Change is succesfully implemented and closed
228,CH0001028,,2024-09-21 08:37:25,Bastion Host,Access permissions,60,Normal,Medium,Systems,Server,Bastion Host,Yes,5 out of 5,No,No,68,implemented and closed,Change is succesfully implemented and closed
229,CH0001029,,2024-08-07 06:51:45,Bastion Host,Access permissions,68,Normal,Medium,Systems,Server,Bastion Host,Yes,4 out of 5,No,No,77,implemented and closed,Change is succesfully implemented and closed
230,CH0001030,,2024-11-18 12:46:18,Internet Gateway,Configuration changes,81,Normal,Medium,Systems,Server,Internet Gateway,Yes,3 out of 5,No,No,75,Rolled back,post implementation checks failed
231,CH0001031,,2024-07-25 19:38:56,Route 53,Configuration changes,38,Normal,Medium,Systems,Server,Route 53,Yes,4 out of 5,No,No,45,implemented and closed,Change is succesfully implemented and closed
232,CH0001032,,2024-12-06 10:50:41,S3 Bucket,Version upgrade,30,Normal,Major,Systems,Server,S3 Bucket,Yes,5 out of 5,Yes,Yes,23,implemented and closed,Change is succesfully implemented and closed
233,CH0001033,,2024-11-09 20:30:20,Direct Connect,Version upgrade,36,Normal,Major,Systems,Server,Direct Connect,Yes,3 out of 5,Yes,Yes,38,implemented and closed,Change is succesfully implemented and closed
234,CH0001034,,2024-06-01 03:00:08,Middleware Application 02,Access permissions,68,Normal,Medium,Systems,Server,Middleware Application 02,Yes,5 out of 5,No,No,76,implemented and closed,Change is succesfully implemented and closed
235,CH0001035,,2024-07-13 07:06:03,"IDEAWORKS application, Middleware Application 01, Middleware Application 02, Web Application 01, Web Application 02",Add New requirements / Features,126,Normal,Major,Systems,Server,IDEAWORKS application,Yes,5 out of 5,Yes,Yes,136,Rolled back,post implementation checks failed
236,CH0001036,,2024-03-27 17:27:37,"Middleware Application 01, Web Application 01",Access permissions,68,Normal,Medium,Systems,Server,Web Application 01,Yes,5 out of 5,No,No,63,implemented and closed,Change is succesfully implemented and closed
237,CH0001037,,2025-01-02 06:49:13,"VPN Gateway, Web Application Firewall",Add New requirements / Features,68,Normal,Major,Systems,Server,VPN Gateway,Yes,3 out of 5,Yes,Yes,63,implemented and closed,Change is succesfully implemented and closed
238,CH0001038,,2025-01-12 17:02:28,Web Application Firewall,Access permissions,72,Normal,Medium,Systems,Server,Web Application Firewall,Yes,4 out of 5,No,No,82,implemented and closed,Change is succesfully implemented and closed
239,CH0001039,,2024-10-27 10:03:24,Web Application Firewall,Access permissions,72,Normal,Medium,Systems,Server,Web Application Firewall,Yes,4 out of 5,No,No,65,implemented and closed,Change is succesfully implemented and closed
240,CH0001040,,2024-10-21 16:52:34,Cloud HSM,Add New requirements / Features,74,Normal,Major,Systems,Server,Cloud HSM,Yes,3 out of 5,Yes,Yes,81,implemented and closed,Change is succesfully implemented and closed
241,CH0001041,,2024-03-05 17:42:24,IDEAWORKS application,App upgradation,94,Normal,Major,Systems,Server,IDEAWORKS application,Yes,4 out of 5,Yes,Yes,98,implemented and closed,Change is succesfully implemented and closed
242,CH0001042,,2024-03-27 23:54:40,S3 Bucket,Version upgrade,33,Normal,Major,Systems,Server,S3 Bucket,Yes,3 out of 5,Yes,Yes,30,implemented and closed,Change is succesfully implemented and closed
243,CH0001043,,2024-08-11 11:08:16,Web Application Firewall,Access permissions,62,Normal,Medium,Systems,Server,Web Application Firewall,Yes,4 out of 5,No,No,59,implemented and closed,Change is succesfully implemented and closed
244,CH0001044,,2024-10-21 09:21:59,Web Application 02,Configuration changes,87,Normal,Medium,Systems,Server,Web Application 02,Yes,4 out of 5,No,No,92,implemented and closed,Change is succesfully implemented and closed
245,CH0001045,,2024-05-26 17:38:45,"Database Server 01, Database Server 02, Middleware Application 01, Middleware Application 02, Web Application 01, Web Application 02",Add New requirements / Features,147,Normal,Major,Systems,Server,Database Server 02,Yes,3 out of 5,Yes,Yes,156,implemented and closed,Change is succesfully implemented and closed
246,CH0001046,,2024-07-02 15:22:11,Endpoints,Configuration changes,45,Normal,Medium,Systems,Server,Endpoints,Yes,3 out of 5,No,No,43,Rolled back,post implementation checks failed
247,CH0001047,,2024-11-03 12:22:21,VPN Nat Gateway,Version upgrade,45,Normal,Major,Systems,Server,VPN Nat Gateway,Yes,4 out of 5,Yes,Yes,55,Rolled back,post implementation checks failed
248,CH0001048,,2024-07-23 12:49:44,Database Server 01,App upgradation,109,Normal,Major,Systems,Server,Database Server 01,Yes,3 out of 5,Yes,Yes,105,implemented and closed,Change is succesfully implemented and closed
249,CH0001049,,2024-10-19 06:02:16,Active Directory services,Add New requirements / Features,65,Normal,Major,Systems,Server,Active Directory services,Yes,3 out of 5,Yes,Yes,67,implemented and closed,Change is succesfully implemented and closed
250,CH0001050,,2024-12-01 09:31:51,Database Server 01,Configuration changes,67,Normal,Medium,Systems,Server,Database Server 01,Yes,4 out of 5,No,No,69,implemented and closed,Change is succesfully implemented and closed
251,CH0001051,,2024-06-11 10:01:45,Route 53,Access permissions,75,Normal,Medium,Systems,Server,Route 53,Yes,4 out of 5,No,No,67,implemented and closed,Change is succesfully implemented and closed
252,CH0001052,,2024-08-15 08:33:27,"Database Server 01, Database Server 02, IDEAWORKS application, Middleware Application 01, Middleware Application 02, Web Application 01, Web Application 02",Add New requirements / Features,132,Normal,Major,Systems,Server,IDEAWORKS application,Yes,5 out of 5,Yes,Yes,135,Rolled back,post implementation checks failed
253,CH0001053,,2025-01-24 07:58:36,Direct Connect,Access permissions,63,Normal,Medium,Systems,Server,Direct Connect,Yes,5 out of 5,No,No,68,Rolled back,post implementation checks failed
254,CH0001054,,2024-04-07 11:59:05,VPN Nat Gateway,Add New requirements / Features,61,Normal,Major,Systems,Server,VPN Nat Gateway,Yes,3 out of 5,Yes,Yes,71,implemented and closed,Change is succesfully implemented and closed
255,CH0001055,,2025-01-08 18:44:40,"Middleware Application 01, Web Application 01",Add New requirements / Features,115,Normal,Major,Systems,Server,Middleware Application 01,Yes,5 out of 5,Yes,Yes,124,implemented and closed,Change is succesfully implemented and closed
256,CH0001056,,2024-07-24 22:11:19,Web Application 01,App upgradation,98,Normal,Major,Systems,Server,Web Application 01,Yes,3 out of 5,Yes,Yes,96,implemented and closed,Change is succesfully implemented and closed
257,CH0001057,,2024-09-05 14:43:50,Internet Gateway,Version upgrade,38,Normal,Major,Systems,Server,Internet Gateway,Yes,4 out of 5,Yes,Yes,38,implemented and closed,Change is succesfully implemented and closed
258,CH0001058,,2024-03-18 22:18:46,Active Directory services,Version upgrade,31,Normal,Major,Systems,Server,Active Directory services,Yes,3 out of 5,Yes,Yes,30,implemented and closed,Change is succesfully implemented and closed
259,CH0001059,,2024-12-07 06:08:17,"Direct Connect, Web Application Firewall",Configuration changes,78,Normal,Medium,Systems,Server,Web Application Firewall,Yes,3 out of 5,No,No,86,implemented and closed,Change is succesfully implemented and closed
260,CH0001060,,2024-04-02 09:38:59,Application Load Balancer,Add New requirements / Features,75,Normal,Major,Systems,Server,Application Load Balancer,Yes,5 out of 5,Yes,Yes,70,implemented and closed,Change is succesfully implemented and closed
261,CH0001061,,2024-03-30 22:02:23,Web Application 01,Configuration changes,87,Normal,Medium,Systems,Server,Web Application 01,Yes,4 out of 5,No,No,86,implemented and closed,Change is succesfully implemented and closed
262,CH0001062,,2024-05-06 17:45:07,Active Directory services,Add New requirements / Features,69,Normal,Major,Systems,Server,Active Directory services,Yes,3 out of 5,Yes,Yes,60,Rolled back,post implementation checks failed
263,CH0001063,,2024-11-02 00:10:58,Middleware Application 02,App upgradation,97,Normal,Major,Systems,Server,Middleware Application 02,Yes,0 out of 5,Yes,Yes,107,failed / Cancelled,"on time preps are incomplete, no approvals"
264,CH0001064,,2024-11-10 00:50:52,IDEAWORKS application,Configuration changes,68,Normal,Medium,Systems,Server,IDEAWORKS application,Yes,4 out of 5,No,No,74,implemented and closed,Change is succesfully implemented and closed
265,CH0001065,,2024-02-09 23:55:55,Internet Gateway,Add New requirements / Features,60,Normal,Major,Systems,Server,Internet Gateway,Yes,2 out of 5,Yes,Yes,51,failed / Cancelled,"on time preps are incomplete, no approvals"
